ElectionAbbr	PollingSiteID	PollingSiteName	TableID	PollingPlaceDesc1	PollingPlaceDesc2	SamBalAddr1	SamBalAddr2	VotingPctID	VotingPctName	PollPlaceRegPctID	PollPlaceRegPctPortion	BallotTypeList
2022NOVGEN	0	MAIL BALLOT PRECINCT	 	MAIL BALLOT PRECINCT	 	 	 	1103   	Pct 1103 MB	1103   		1  
2022NOVGEN	0	MAIL BALLOT PRECINCT	 	MAIL BALLOT PRECINCT	 	 	 	1116   	Pct 1116 MB	1116   		1  
2022NOVGEN	0	MAIL BALLOT PRECINCT	 	MAIL BALLOT PRECINCT	 	 	 	7203   	Pct 7203 MB	7203   		7  
2022NOVGEN	0	MAIL BALLOT PRECINCT	 	MAIL BALLOT PRECINCT	 	 	 	7204   	Pct 7204 MB	7204   		7  
2022NOVGEN	0	MAIL BALLOT PRECINCT	 	MAIL BALLOT PRECINCT	 	 	 	7206   	Pct 7206 MB	7206   		6  
2022NOVGEN	0	MAIL BALLOT PRECINCT	 	MAIL BALLOT PRECINCT	 	 	 	7338   	Pct 7338 MB	7338   		9  
2022NOVGEN	0	MAIL BALLOT PRECINCT	 	MAIL BALLOT PRECINCT	 	 	 	7636   	Pct 7636 MB	7636   		13  
2022NOVGEN	0	MAIL BALLOT PRECINCT	 	MAIL BALLOT PRECINCT	 	 	 	9147   	Pct 9147 MB	9147   		20  
2022NOVGEN	0	MAIL BALLOT PRECINCT	 	MAIL BALLOT PRECINCT	 	 	 	9513   	Pct 9513 MB	9513   		25  
2022NOVGEN	0	MAIL BALLOT PRECINCT	 	MAIL BALLOT PRECINCT	 	 	 	9901   	Pct 9901 MB	9901   		32  
2022NOVGEN	0	MAIL BALLOT PRECINCT	 	MAIL BALLOT PRECINCT	 	 	 	9902   	Pct 9902 MB	9902   		18  
2022NOVGEN	0	MAIL BALLOT PRECINCT	 	MAIL BALLOT PRECINCT	 	 	 	9903   	Pct 9903 MB	9903   		33  
2022NOVGEN	0	MAIL BALLOT PRECINCT	 	MAIL BALLOT PRECINCT	 	 	 	9904   	Pct 9904 MB	9904   		34  
2022NOVGEN	11	1145 - 755 Morse St		Longfellow School - Front Lobby	755 Morse St	Btw Mission & Lowell	4.3% Slope	1145   	Pct 1145	1145   		3  
2022NOVGEN	28	1142 - 1261 Geneva Ave (loc 1143)		Geneva Ave United Methodist Church - Fellowship Hall	1261 Geneva Ave	Btw Vienna & Athens	5.0% Slope	1142   	Pct 1142	1142   		3  
2022NOVGEN	32	1148 - 859 Prague St		Guadalupe Elementary School - Hallway	859 Prague St	Enter At Corner Of Prague & Naylor	8.3% Slope - Ramped Access	1148   	Pct 1148	1148   		3  
2022NOVGEN	36	1127 - 62 Santa Rosa Avenue		Corpus Christi Church	62 Santa Rosa Ave	Enter On Alemany At Santa Rosa	1.1% Slope	1127   	Pct 1127	1127   		2  
2022NOVGEN	39	1133 - 260 Madrid St		Monroe School - Multipurpose Room	260 Madrid St	Btw Avalon & Excelsior Ave	3.6% Slope	1133   	Pct 1133	1133   		3  
2022NOVGEN	55	1139 - 325 La Grande Ave		City Arts & Tech High School - Hallway	325 La Grande Ave	Btw Persia & Brazil	8.3% Slope - Ramped Access	1139   	Pct 1139	1139   		3  
2022NOVGEN	61	7939 - 95 Justin Drive		St Mary's Rec Center - Auditorium	95 Justin Dr	Corner Of Justin & Murray	5.2% Slope	7939   	Pct 7939	7939   		17  
2022NOVGEN	65	7942 - 810 Silver Ave		Hillcrest School - Auditorium	810 Silver Ave	Btw Cambridge & Yale Sts	8.3% Slope - Ramped Access	7942   	Pct 7942	7942   		18  
2022NOVGEN	66	7944 - 500 Felton Street		Palega Rec Center - Lobby	500 Felton St	Btw Hamilton & Somerset	4.7% Slope	7944   	Pct 7944	7944   		18  
2022NOVGEN	73	7041 - 1654 Sunnydale Ave		Sunnydale Development Community Rm	1654 Sunnydale Ave	Enter On Sunnydale At Santos	8.3% Slope Ramped Access	7041   	Pct 7041	7041   		5  
2022NOVGEN	77	7948 - 750 Mansell St		Garage	750 Mansell St	Btw Bowdoin & Dartmouth	6.7% Slope	7948   	Pct 7948	7948   		18  
2022NOVGEN	78	7044 - 70 Delta St		El Dorado School - Cafeteria	70 Delta St	Btw Harkness & Hamilton	8.3% Slope Ramped Access	7044   	Pct 7044	7044   		5  
2022NOVGEN	91	7046 - 701 Sunnydale Ave		Church Of The Visitacion - Gym	701 Sunnydale Ave	Btw Rutland & Cora	8.3% Slope - Ramped Access	7046   	Pct 7046	7046   		5  
2022NOVGEN	106	9117 - 25 Lake St		St John's Presbyterian Church - Lobby	25 Lake St	Enter At Corner Of Lake St & Arguello Bl	8.3% Slope - Ramped Access	9117   	Pct 9117	9117   		19  
2022NOVGEN	119	9101 - 499 41st Ave		Firehouse #34	499 41st Ave	Btw Geary Blvd & Pt. Lobos Ave	1.6% Slope	9101   	Pct 9101	9101   		19  
2022NOVGEN	121	9134 - 734 46th Ave		Garage	734 46th Ave	Btw Balboa & Cabrillo Sts	4.2% Slope	9134   	Pct 9134	9134   		19  
2022NOVGEN	126	9135 - 853 38th Ave		Cabrillo Playground - Clubhouse	853 38th Ave	Between Cabrillo & Fulton St	4.6% Slope	9135   	Pct 9135	9135   		19  
2022NOVGEN	148	9138 - 735 24th Ave		Academic & Professional Dev - Room 118	735 24th Ave	Btw Balboa & Cabrillo Sts	6.9% Slope	9138   	Pct 9138	9138   		19  
2022NOVGEN	150	9108 - 250 23rd Ave		Alamo Elementary School - Lobby	250 23rd Ave	Btw Clement & California	0.5% Slope	9108   	Pct 9108	9108   		19  
2022NOVGEN	178	9142 - 701 8th Ave		Golden Gate Church Of Christ - Community Rm	701 8th Ave	Btw Cabrillo & Fulton	2.5% Slope	9142   	Pct 9142	9142   		19  
2022NOVGEN	181	9118 - 345 Arguello Blvd		Senior Housing - Community Room	345 Arguello Blvd	Btw Cornwall & Clement Sts	2.8% Slope	9118   	Pct 9118	9118   		19  
2022NOVGEN	185	9143 - 651 6th Avenue		Mccoppin School - Cafeteria	651 6th Ave	Btw Cabrillo & Balboa Sts	3.7% Slope	9143   	Pct 9143	9143   		19  
2022NOVGEN	192	9229 - 51 Commonwealth Ave		St Gregory Armenian - Youth Hall	51 Commonwealth Ave	Btw Euclid & California	5.4% Slope	9229   	Pct 9229	9229   		21  
2022NOVGEN	207	9236 - 40 Vega St		Wallenberg High School - Cafeteria	40 Vega St	Btw Nido & Anza Vista	6.8% Slope	9236   	Pct 9236	9236   		21  
2022NOVGEN	209	9237 - 1915 Mcallister St		Pentecostal Temple Church - Dining Room	1915 Mcallister St	Btw Lyon St & Central Ave	1.5% Slope	9237   	Pct 9237	9237   		21  
2022NOVGEN	222	9409 - 1530 43rd Avenue		Francis Scott Key E. S. - Auditorium	1530 43rd Ave	Enter At 43rd Ave & Kirkham	8.2% Ramped Access	9409   	Pct 9409	9409   		24  
2022NOVGEN	247	9425 - 2051 34th Ave		R. L. Stevenson Elementary School - Main Lobby	2051 34th Ave	Btw Quintara & Pacheco	5.5% Slope	9425   	Pct 9425	9425   		24  
2022NOVGEN	263	9419 - 1750 29th Ave		Episcopal Church Of The Incarnation - Library	1750 29th Ave	Btw Noriega & Moraga	1.4% Slope - Ramped Access	9419   	Pct 9419	9419   		24  
2022NOVGEN	283	9444 - 2650 42nd Ave		Ulloa Elementary School - Gymnasium	2650 42nd Ave	Enter On Vicente Btw 41st & 42nd Ave	4.9% Slope - Ramped Access	9444   	Pct 9444	9444   		24  
2022NOVGEN	307	9433 - 2162 24th Ave		Abraham Lincoln School - Teachers' Lounge	2162 24th Ave	Btw Rivera & Quintara	4.7% Slope	9433   	Pct 9433	9433   		24  
2022NOVGEN	315	9705 - 1725 Irving St		Jefferson Elementary School - Auditorium	1725 Irving St	Enter On 19th Ave Btw Irving & Judah	3.1% Slope	9705   	Pct 9705	9705   		27  
2022NOVGEN	318	9706 - 1390 14th Ave		Saint Anne Of The Sunset Church	1390 14th Ave	Btw Irving & Judah	7.7% Slope - Ramped Access	9706   	Pct 9706	9706   		27  
2022NOVGEN	330	9708 - 8 Locksley Ave		Avalon Sunset Towers - Lobby	8 Locksley Ave	Btw Lawton Sts & 6th Ave	8.3% Slope	9708   	Pct 9708	9708   		28  
2022NOVGEN	331	9704 - 1 Irving St		Lobby At U C S F Parking Garage	1 Irving St	Corner Of Irving & Arguello	3.7% Slope	9704   	Pct 9704	9704   		28  
2022NOVGEN	348	9711 - 1541 12th Ave		Alice Fong Yu Alternative School - Multipurpose Rm 401	1541 12th Ave	Between Kirkham & Lawton	3.4% Slope	9711   	Pct 9711	9711   		27  
2022NOVGEN	366	7702 - 285 Olympia Way		Firehouse #20 - Left Bay	285 Olympia Way	Corner Of Clarendon & Olympia	0.9% Slope	7702   	Pct 7702	7702   		14  
2022NOVGEN	388	7709 - 1091 Portola Dr		Firehouse #39	1091 Portola Dr	On Portola At Marne & Miraloma	1.3% Slope	7709   	Pct 7709	7709   		15  
2022NOVGEN	395	7711 - 175 Omar Way		Miraloma Elementary School - Gym	175 Omar Way	Btw Omar & Rockdale	6.3% Slope	7711   	Pct 7711	7711   		15  
2022NOVGEN	410	7708 - 50 Darien Way		Commodore Sloat Elementary School - Auditorium	50 Darien Way	Btw Junipero Serra & San Fernando	4.7% Slope	7708   	Pct 7708	7708   		15  
2022NOVGEN	411	7712 - 105 Aptos Ave		Aptos Middle School - Room 231	105 Aptos Ave	Enter On Upland At San Aleso	5.5% Slope	7712   	Pct 7712	7712   		15  
2022NOVGEN	439	7848 - 80 Digby Street		Firehouse #26 - Right Bay	80 Digby St	Near Playground At Digby & Everson	8.3% Slope	7848   	Pct 7848	7848   		16  
2022NOVGEN	446	9808 - 151 Lippard Ave		Glen Park School - South Hallway	151 Lippard Ave	Btw  Bosworth & Joost Sts	5.5% Slope - Ramped Access	9808   	Pct 9808	9808   		31  
2022NOVGEN	450	7844 - 295 Day St		Upper Noe Recreation Center	295 Day St	Btw Sanchez & Church	4.9% Slope - Ramped Access	7844   	Pct 7844	7844   		16  
2022NOVGEN	461	7936 - 500 Cortland Ave		Bernal Heights Library - Community Room	500 Cortland Ave	Enter On Andover Btw Cortland & Moultrie	1.8% Slope	7936   	Pct 7936	7936   		17  
2022NOVGEN	462	7937 - 555 Tompkins Ave		Paul Revere Elementary School - Main Hallway	555 Tompkins Ave	Corner Of Tompkins & Banks	3.1% Slope	7937   	Pct 7937	7937   		17  
2022NOVGEN	466	7941 - 560 Alemany Blvd		Alemany Apartments - Community Room	560 Alemany Blvd	Enter On Ellsworth Btw Alemany & Crescent	5.0% Slope	7941   	Pct 7941	7941   		17  
2022NOVGEN	467	9722 - 515 John Muir Dr		Lakewood Apartments - Lobby	515 John Muir Dr	Cross Street Skyline Blvd	Exceeds 8.3% Running Slope, 2% Cross Slope. Curbside Voting Avail	9722   	Pct 9722	9722   		27  
2022NOVGEN	474	9452 - 220 Middlefield Drive		Lakeshore Elementary - Lobby	220 Middlefield Drive	Corner Of Eucalyptus & Middlefield	4.1% Slope - Ramped Access	9452   	Pct 9452	9452   		24  
2022NOVGEN	481	9726 - 350 Arballo Dr		Villas Park Merced - Lobby	350 Arballo Dr	Enter Btw Vidal & Pinto	7.6% slope	9726   	Pct 9726	9726   		27  
2022NOVGEN	485	9727 - 150 Font Blvd		Villas Park Merced - Lobby	150 Font Blvd	Btw Cambon & Chumasero Drive	8% Slope - Ramped Entrance	9727   	Pct 9727	9727   		27  
2022NOVGEN	492	1101 - 65 Beverly St		Temple United Methodist Church	65 Beverly St	Btw Shields St & 19th Ave	3.6% Slope	1101   	Pct 1101	1101   		1  
2022NOVGEN	517	7017 - 1800 Oakdale Ave		City College - Southeast Campus - Lobby	1800 Oakdale Ave	Btw Quint & Phelps Sts	3.9% Slope	7017   	Pct 7017	7017   		4  
2022NOVGEN	522	7027 - 410 Hawes Street		Our Lady Of Lourdes Church	410 Hawes St	Btw Innes Ave & Hudson	5.3% Slope	7027   	Pct 7027	7027   		4  
2022NOVGEN	524	7021 - 45 Conkling Street		Thurgood Marshall High School - Auditorium	45 Conkling St	Btw Silver Ave & Waterville St	8.3% Slope - Ramped Access	7021   	Pct 7021	7021   		4  
2022NOVGEN	530	7029 - 50 Pomona St		Charles Drew Elementary School - Cafeteria	50 Pomona St	Btw Thornton & Bayview	3.6% Slope	7029   	Pct 7029	7029   		4  
2022NOVGEN	548	7028 - 2082 Bancroft Ave		Garage	2082 Bancroft Ave	Btw Thornton Ave & Phelps St	2.9% Slope	7028   	Pct 7028	7028   		4  
2022NOVGEN	562	7055 - 1035 Gilman Avenue		Bret Harte Elementary School - Hallway	1035 Gilman Ave	Btw Griffith & Hawes Sts	5.1% Slope	7055   	Pct 7055	7055   		4  
2022NOVGEN	586	9239 - 2698 California St		Senior Housing - Social Room	2698 California St	Enter Scott St Btw California & Sacramento	4.4% Slope	9239   	Pct 9239	9239   		22  
2022NOVGEN	603	9217 - 2350 Green St		St Vincent De Paul School - Lobby	2350 Green St	Btw Pierce & Steiner	0.9% Slope	9217   	Pct 9217	9217   		21  
2022NOVGEN	619	9219 - 1801 Green Street		Golden Gate Valley Library - Program Rm	1801 Green St	Enter Thru Iron Gate Btw Octavia & Laguna	1.0% Slope	9219   	Pct 9219	9219   		21  
2022NOVGEN	627	9215 - 1570 Greenwich St		Garage	1570 Greenwich St	Enter On Franklin At Greenwich	4.4% Slope	9215   	Pct 9215	9215   		21  
2022NOVGEN	630	9222 - 1651 Union St		Sherman School - Library	1651 Union St	Btw Franklin & Gough	4.6% Slope - Ramped Access	9222   	Pct 9222	9222   		21  
2022NOVGEN	652	9207 - 1150 Francisco Street		Galileo High School - Room 210	1150 Francisco St	Btw Van Ness & Polk	8% Slope	9207   	Pct 9207	9207   		21  
2022NOVGEN	653	9302 - 2637 Larkin St		Garage	2637 Larkin St	Btw Chestnut & Lombard	3.0% Slope	9302   	Pct 9302	9302   		23  
2022NOVGEN	654	9301 - 2454 Hyde St		Norwegian Seaman's Church - Garage	2454 Hyde St	Btw Francisco & Chestnut Sts	8% Slope	9301   	Pct 9301	9301   		23  
2022NOVGEN	662	7303 - 111 Bay St		North Pt Wet Weather Facility - Lobby	111 Bay St	Btw Kearny & Midway	2.8% Slope	7303   	Pct 7303	7303   		8  
2022NOVGEN	663	7302 - 2190 Powell St		Francisco Middle School - Auditorium	2190 Powell St	Enter Schoolyard From Francisco Btw Powell & Stockton	0.8% Slope	7302   	Pct 7302	7302   		8  
2022NOVGEN	671	7313 - 155 Jackson Street		Golden Gateway Ctr - Lobby	155 Jackson St	Enter On Front St Near Corner Of Jackson	2.4% Slope	7313   	Pct 7313	7313   		8  
2022NOVGEN	676	9305 - 2041 Larkin St		The Church For The Fellowship Of All Peoples	2041 Larkin St	Btw Broadway & Vallejo	1.5% Slope	9305   	Pct 9305	9305   		23  
2022NOVGEN	685	7321 - 1325 Leavenworth Street		Firehouse #41	1325 Leavenworth St	Btw Washington & Clay	2.0% Slope	7321   	Pct 7321	7321   		8  
2022NOVGEN	693	7305 - 756 Union St		San Francisco Evangelical Free Church	756 Union St	Btw Powell & Mason	6.2% Slope	7305   	Pct 7305	7305   		8  
2022NOVGEN	694	7316 - 990 Pacific Ave		990 Pacific Ave Apartments - Community Room	990 Pacific Ave	Btw Powell & Mason Streets	8.0% slope - ramped access	7316   	Pct 7316	7316   		8  
2022NOVGEN	700	7311 - 1450 Powell Street		Salvation Army - Lobby	1450 Powell St	Btw Broadway & Vallejo	2.5% Slope	7311   	Pct 7311	7311   		8  
2022NOVGEN	703	7308 - 350 Broadway		John Yehall Chin School - Library	350 Broadway	Btw Sansome & Montgomery	8.3% Slope - Ramped Access	7308   	Pct 7308	7308   		8  
2022NOVGEN	705	7325 - 950 Clay St		Gordon J. Lau Elementary School -  Auditorium Lobby	950 Clay St	Btw Stockton & Powell	3.1% Slope	7325   	Pct 7325	7325   		8  
2022NOVGEN	707	7326 - 777 Stockton Street		Geen Mun Center - Conference Room	777 Stockton St	Enter On Stockton At Sacramento	5.2% Slope	7326   	Pct 7326	7326   		8  
2022NOVGEN	712	7328 - 1067 Post St		Firehouse #3	1067 Post St	Btw Polk & Larkin	3.8% Slope	7328   	Pct 7328	7328   		8  
2022NOVGEN	726	7527 - 666 Ellis St		Ellis Gardens - Social Room	666 Ellis St	Btw Larkin & Hyde	4.9% Slope	7527   	Pct 7527	7527   		10  
2022NOVGEN	727	7531 - 378 Golden Gate Ave		Hampton Court	378 Golden Gate Ave	Between Hyde & Larkin	1.2% Slope	7531   	Pct 7531	7531   		10  
2022NOVGEN	735	7332 - 1040 Bush Street		Mary Elizabeth Inn - Dining Hall	1040 Bush St	Btw Leavenworth & Jones	1.7% Slope	7332   	Pct 7332	7332   		8  
2022NOVGEN	736	7335 - 1001 Pine St		1001 Pine Street Apartments	1001 Pine St	Btw Jones & Taylor	5.9% Slope	7335   	Pct 7335	7335   		8  
2022NOVGEN	750	7528 - 380 Eddy Street		Cadillac Hotel	380 Eddy St	Btw Jones & Leavenworth	3.3% Slope	7528   	Pct 7528	7528   		10  
2022NOVGEN	765	9511 - 2501 Sutter St		Westside Court - Community Room	2501 Sutter St	Enter On Broderick Btw Sutter & Post	4.3% Slope	9511   	Pct 9511	9511   		26  
2022NOVGEN	767	9238 - 2725 California St		Dr. William L. Cobb E. S. - Main Hallway	2725 California St	Btw Scott & Divisadero	7.8% Slope - Ramped Access	9238   	Pct 9238	9238   		22  
2022NOVGEN	770	7501 - 1975 Post St		Jones Memorial Methodist Church - Multi Purpose Rm	1975 Post St	Entrance On Post At Boswell	7.9% Slope - Ramped Access	7501   	Pct 7501	7501   		10  
2022NOVGEN	773	7507 - 1501 O'Farrell St		Rosa Parks Elementary School - Auditorium	1501 O'farrell St	Btw Hollis St & Inca Lane	6.2% Slope - Ramped Access	7507   	Pct 7507	7507   		10  
2022NOVGEN	776	7508 - 1601 Turk St		Creative Arts Charter School - Room 101	1601 Turk St	Btw Scott & Pierce Sts	3.1% Slope	7508   	Pct 7508	7508   		10  
2022NOVGEN	781	7208 - 601 Van Ness Ave		Opera Plaza - 2nd Fl Mezzanine - Community Rm	601 Van Ness Ave	Btw Turk St & Golden Gate	8.3% Slope - Ramped Access	7208   	Pct 7208	7208   		7  
2022NOVGEN	784	7514 - 1399 Mc Allister St		Third Baptist Church	1399 Mcallister St	Corner Of Mc Allister & Pierce	Exceeds 8.3% Running Slope, 2% Cross Slope. Curbside Voting Avail	7514   	Pct 7514	7514   		10  
2022NOVGEN	791	7512 - 460 Fulton St		Neighborhood Network Center	460 Fulton St	Btw Octavia & Gough	5% Slope	7512   	Pct 7512	7512   		10  
2022NOVGEN	807	7805 - 50 Scott St		Harvey Milk Recreation Center	50 Scott St	Btw Waller & Duboce	5.0% Slope	7805   	Pct 7805	7805   		16  
2022NOVGEN	809	7521 - 508 Haight St (loc 7519)		Cafe International	508 Haight St	Btw Steiner & Fillmore	5.6% Slope	7521   	Pct 7521	7521   		10  
2022NOVGEN	822	7616 - 1035 Folsom St		Columbia Park Apartments	1035 Folsom St	Btw 6th & 7th Sts	4.2% Slope	7616   	Pct 7616	7616   		12  
2022NOVGEN	834	7632 - 747 Folsom St		Mendelsohn House - Activities Room	747 Folsom St	Btw 3rd & 4th Sts	1.9% Slope	7632   	Pct 7632	7632   		12  
2022NOVGEN	846	9502 - 2049 Grove St		New Traditions Elementary School - Auditorium	2049 Grove St	Btw Cole & Clayton	7.9% Slope	9502   	Pct 9502	9502   		25  
2022NOVGEN	847	9505 - 1860 Hayes St		CCSF - John Adams Campus - Cafeteria	1860 Hayes St	Btw Masonic & Ashbury	8% Slope - Ramped Access	9505   	Pct 9505	9505   		25  
2022NOVGEN	853	9501 - 1833 Page St		Park Branch Library - Community Room	1833 Page St	Btw Cole & Shrader	6.0% Slope - Ramped Access	9501   	Pct 9501	9501   		25  
2022NOVGEN	874	9805 - 165 Grattan St		Grattan Elementary School - Auditorium 116 A	165 Grattan St	Btw Cole & Shrader	5.6% Slope - Ramped Access	9805   	Pct 9805	9805   		30  
2022NOVGEN	880	7803 - 1025 14th Street		Mckinley Elementary School - Front Lobby	1025 14th St	Btw Castro & Divisadero	4.4% Slope	7803   	Pct 7803	7803   		16  
2022NOVGEN	881	7802 - 199 Museum Way		Randall Museum - Lobby	199 Museum Way	Cross Street - Roosevelt Way	7.3% Slope	7802   	Pct 7802	7802   		16  
2022NOVGEN	900	7816 - 450 Church St		Everett Middle School - Rm 165	450 Church St	Btw 16th & 17th Sts	8.3% Slope - Ramped Access	7816   	Pct 7816	7816   		16  
2022NOVGEN	903	7818 - 500 Corbett Ave		Rooftop Mayeda Campus - Lobby	500 Corbett Ave	Corner Of Iron Alley & Corbett	7.7% Slope	7818   	Pct 7818	7818   		16  
2022NOVGEN	914	7821 - 100 Collingwood St		Eureka Valley Rec Ctr  - Multi Purpose Rm	100 Collingwood St	Btw 18th & 19th Sts	8.3% Slope - Ramped Access	7821   	Pct 7821	7821   		16  
2022NOVGEN	932	7817 - 450 Guerrero St		Boys & Girls Club - Dance Studio	450 Guerrero St	Btw 16th & 17th Sts	2.2% Slope	7817   	Pct 7817	7817   		16  
2022NOVGEN	942	7903 - 630 Valencia Street		Mission Police Station - Community Room	630 Valencia St	Between 17th & 18th Sts	5.0% Slope	7903   	Pct 7903	7903   		17  
2022NOVGEN	951	7909 - 580 Capp St		Bethany Center - Multi Purpose Room	580 Capp St	Btw 20th & 21st St	8.3% Slope - Ramped Access	7909   	Pct 7909	7909   		17  
2022NOVGEN	958	7915 - 745 Treat Ave		Mission Arts Center - 2nd Floor Auditorium	745 Treat Ave	Btw 20th & 21st Sts	6.1% Slope	7915   	Pct 7915	7915   		17  
2022NOVGEN	959	7916 - 825 Shotwell St		Cesar Chavez School - Main Hallway	825 Shotwell St	Btw 22nd & 23rd Sts	2.2% Slope	7916   	Pct 7916	7916   		17  
2022NOVGEN	979	7922 - 1271 Treat Ave		Garfield Square Rec Center - Multi Purpose Rm	1271 Treat Ave	Btw 25th & 26th Sts	1.4% Slope	7922   	Pct 7922	7922   		17  
2022NOVGEN	992	7007 - 953 De Haro St		Potrero Hill Neighborhood House	953 De Haro St	Enter On DE Haro At Southern Heights	8.0% Slope	7007   	Pct 7007	7007   		4  
2022NOVGEN	1013	7831 - 625 Douglass St		Alvarado Elementary School - Motor Skills Rm	625 Douglass St	Enter On 22nd St Btw Douglass & Eureka	4.5% Slope	7831   	Pct 7831	7831   		16  
2022NOVGEN	1047	7835 - 3880 26th St		Firehouse #11 - Right Bay	3880 26th St	Btw Church & Dolores	6.4% Slope	7835   	Pct 7835	7835   		16  
2022NOVGEN	1089	9227 - 3200 California St		Jewish Community Center Of S F - Atrium	3200 California St	Btw Presidio Ave & Walnut St	2.6% Slope	9227   	Pct 9227	9227   		21  
2022NOVGEN	1126	7509 - 1240 Fillmore St		Royal Apartments - Community Rm	1240 Fillmore St	Btw Turk & Eddy	1.5% Slope	7509   	Pct 7509	7509   		10  
2022NOVGEN	1143	7832 - 451 Jersey St		Noe Valley Branch Library - Program Room	451 Jersey St	Btw Diamond & Castro	3.9% Slope	7832   	Pct 7832	7832   		16  
2022NOVGEN	1149	7704 - 2290 14th Ave		Herbert Hoover Middle School - Auditorium Lobby	2290 14th Ave	Enter 14th Ave At Santiago	8.3% Slope - Ramped Access	7704   	Pct 7704	7704   		15  
2022NOVGEN	1150	7828 - 100 Hoffman Avenue		Firehouse #24	100 Hoffman Ave	Btw Alvarado & 23rd Sts	1.6% Slope	7828   	Pct 7828	7828   		16  
2022NOVGEN	1153	7052 - 333 Tunnel Ave_		Symphony Church - Cafeteria	333 Tunnel Ave	Btw Lathrop & Visitacion Ave's	3.5 %slope	7052   	Pct 7052	7052   		5  
2022NOVGEN	1162	7842 - 1670 Noe St		Mission Ed Center - Room 101	1670 Noe St	Corner Of 30th St & Noe	13% Slope for 2ft	7842   	Pct 7842	7842   		16  
2022NOVGEN	1204	7924 - 2730 Bryant St		Sunshine School - S F Education Fund Rm200e	2730 Bryant St	Btw 25th & 26th Sts	7.5% Slope - Ramped Access	7924   	Pct 7924	7924   		17  
2022NOVGEN	1210	7207 - 1280 Laguna Street		Western Park Apartments - Community Room	1280 Laguna St	Between Eddy & Ellis	8.3% Slope	7207   	Pct 7207	7207   		7  
2022NOVGEN	1230	9214 - 2251 Greenwich Street		Firehouse #16 - West Engine Bay	2251 Greenwich St	Btw Steiner & Fillmore	2.2% Slope	9214   	Pct 9214	9214   		21  
2022NOVGEN	1275	7705 - 321 Taraval St		Covenant Presbyterian Church - Portalhurst Hall	321 Taraval St	Btw Funston & 14th Ave	7% Slope	7705   	Pct 7705	7705   		15  
2022NOVGEN	1336	9105 - 250 25th Avenue		Rochambeau Playground - Clubhouse	250 25th Ave	Btw California & Lake Sts	4.6% Slope	9105   	Pct 9105	9105   		19  
2022NOVGEN	1363	7048 - 1298 Girard St		Firehouse #44 - Left Bay	1298 Girard St	Btw Wilde & Harkness	0.7% Slope	7048   	Pct 7048	7048   		5  
2022NOVGEN	1425	7806 - 25 Sanchez St		Community Room	25 Sanchez St	Btw Duboce & 14th St	7.4% Slope - Ramped Access	7806   	Pct 7806	7806   		16  
2022NOVGEN	1442	7522 - 403 Rose St		Hayes Valley Apartments - Community Room	403 Rose St	Btw Buchanan & Webster	1.2 % Slope	7522   	Pct 7522	7522   		10  
2022NOVGEN	1450	7503 - 1760 Bush St		1760 Bush Street Apartments - Community Rm	1760 Bush St	Btw Octavia & Gough	8.3% Slope - Ramped Access	7503   	Pct 7503	7503   		10  
2022NOVGEN	1451	7034 - 1295 Shafter Ave		Firehouse #17	1295 Shafter Ave	Btw Hawes & Ingalls	8.3% Slope	7034   	Pct 7034	7034   		4  
2022NOVGEN	1488	9306 - 1088 Green Street		St. Andrew's Society Of San Francisco	1088 Green St	Btw Jones & Leavenworth	0.6% Slope	9306   	Pct 9306	9306   		23  
2022NOVGEN	1530	7051 - 1249 Jamestown Ave		United House Of Prayer Church - Hall	1249 Jamestown Ave	Btw 3rd St & Exeter	Wheelchair Ramp Above 8.3% Slope for 6'. Curbside Voting Avail	7051   	Pct 7051	7051   		4  
2022NOVGEN	1554	9109 - 251 18th Ave		Richmond Rec Center - Multi Purpose Room	251 18th Ave	Btw California & Clement	2.5% Slope	9109   	Pct 9109	9109   		19  
2022NOVGEN	1555	7307 - 1814 Stockton Street		Firehouse #28 - Right Bay	1814 Stockton St	Btw Greenwich & Lombard	3.4% Slope	7307   	Pct 7307	7307   		8  
2022NOVGEN	1556	9508 - 1443 Grove Street		Firehouse #21	1443 Grove St	Btw Baker & Broderick	7.4% Slope	9508   	Pct 9508	9508   		25  
2022NOVGEN	1557	1111 - 431 Capitol Ave		Sheridan School - Auditorium Lobby	431 Capitol Ave	Enter At Farallones Btw Capitol & Orizaba	8.3% Slope - Ramped Access	1111   	Pct 1111	1111   		2  
2022NOVGEN	1563	9112 - 360 18th Avenue		Y M C A Richmond District	360 18th Ave	Btw Geary Blvd & Clement St	6.5% Slope	9112   	Pct 9112	9112   		19  
2022NOVGEN	1631	7914 - 3261 23rd Street (loc 7918)		Mission United Presbyterian Church - Social Hall	3261 23rd St	Between Capp & Mission Sts	5.6% Slope	7914   	Pct 7914	7914   		17  
2022NOVGEN	1643	9141 - 680 18th Avenue		Argonne School - Multi Purpose Rm	680 18th Ave	Enter On 17th Ave Btw Balboa & Cabrillo	2.4% Slope	9141   	Pct 9141	9141   		19  
2022NOVGEN	1658	7523 - 333 Fell St		Fell St Housing - Community Room	333 Fell St	Between Octavia & Gough	2.6% Slope	7523   	Pct 7523	7523   		10  
2022NOVGEN	1717	9113 - 235 12th Avenue		Sutro Elementary School - Cafeteria	235 12th Ave	Btw Clement & California	1.0% Slope	9113   	Pct 9113	9113   		19  
